id,title,year,rating,category,cast,director,summary,poster,created_at,updated_at
263,Diana,2013,3,Dramas,"Naomi Watts, Naveen Andrews, Cas Anvar, Douglas Hodge, Geraldine James, Charles Edwards, Juliet Stevenson, Daniel Pirrie",Oliver Hirschbiegel,"In the two years before her death, Princess Diana embarks on a vital campaign to ban landmines and on a passionate love affair with Dr. Hasnat Khan.",http://netflixroulette.net/api/posters/70291112.jpg,2016-04-29 16:22:14 UTC,2016-04-29 16:22:14 UTC
264,Masterpiece Classic: Mansfield Park,2007,3,Dramas,"Billie Piper, Blake Ritson, Jemma Redgrave, Douglas Hodge, Maggie O'Neill, James D'Arcy, Michelle Ryan, Rory Kinnear, Hayley Atwell",Iain B. MacDonald,"Poor Fanny Price finds herself out of her element when she's sent to live with her wealthy aunt and uncle in this adaptation of Jane Austen's novel. As she grows into adulthood, Fanny struggles to fit in amid her spoiled, rich cousins.",http://netflixroulette.net/api/posters/70085433.jpg,2016-04-29 16:22:14 UTC,2016-04-29 16:22:14 UTC
265,Salome's Last Dance,1988,2,Comedies,"Glenda Jackson, Stratford Johns, Nickolas Grace, Douglas Hodge, Imogen Millais-Scott, Denis Lill, Russell Lee Nash, Ken Russell",Ken Russell,"Framed as a play within a film, this surreal adaptation of Oscar Wilde's ""Salome"" -- the tale of a biblical temptress -- follows the dramatist as he watches a performance of his title work while lounging in a bordello with his lover.",http://netflixroulette.net/api/posters/929118.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
266,Middlemarch,1994,3,TV Shows,"Juliet Aubrey, Douglas Hodge, Robert Hardy, Peter Jeffrey, Trevyn McDowell, Rufus Sewell, Jonathan Firth, Julian Wadham, Colum Convey, Simon Chandler","","Adapted from George Eliot's novel, this BBC miniseries tells the story of virtuous Dr. Lydgate, who heads up Middlemarch's hospital, and well-do-to Dorothea, who's determined to help the needy.",http://netflixroulette.net/api/posters/70202590.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
267,Broken,2012,2,Dramas,"Tim Roth, Eloise Laurence, Cillian Murphy, Rory Kinnear, Robert Emms, Zana Marjanovic, Clare Burt, Denis Lawson, Bill Milner, George Sargeant",Rufus Norris,"In this poignant coming-of-age tale, Skunk, a precocious and diabetic 11-year-old, lives happily with her brother and father in a suburban English neighborhood until an act of violence initiates her into the often-baffling world of adulthood.",http://netflixroulette.net/api/posters/70243239.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
268,The Wind That Shakes the Barley,2006,3,Dramas,"Cillian Murphy, Liam Cunningham, William Ruane, Padraic Delaney, Gerard Kearney, Fergus Burke, Niall McCarthy, Siobhan McSweeney, Aidan O'Hare",Ken Loach,"As political tensions brew in early 1920s Ireland, brothers Damien and Teddy (Cillian Murphy and Padraic Delaney) abandon their civilian lives and take up arms to liberate their country from the oppressive ""Black and Tan"" squads of Britain. Winner of the Palme d'Or at the 2006 Cannes Film Festival, Ken Loach's provocative drama examines a microcosm of civil war in Cork, Ireland. Liam Cunningham co-stars.",http://netflixroulette.net/api/posters/70050587.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
269,Red Lights,2012,3,Thrillers,"Robert De Niro, Sigourney Weaver, Cillian Murphy, Elizabeth Olsen, Joely Richardson, Toby Jones, Burn Gorman, Craig Roberts, Karen Shenaz David, Jeany Spark",Rodrigo Cortés,"Professor Margaret Matheson and her assistant, Tom Buckley, set out to debunk claims of paranormal activity. During their investigation, a legendary psychic comes out of retirement, and Buckley becomes obsessed with proving he's a fraud.",http://netflixroulette.net/api/posters/70209248.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
270,Waveriders,2008,3,Documentaries,"Cillian Murphy, Richard Fitzgerald, Gabe Davies, Chris Malloy, Keith Malloy, Dan Malloy, Kelly Slater, George Freeth, Kevin Naughton, Drew Kampion",Joel Conroy,"Documentarian Joel Conroy traces the Irish origins of surfing, focusing largely on George Freeth, an Irishman of Hawaiian descent who is credited with popularizing the sport in the early 20th century.",http://netflixroulette.net/api/posters/70125136.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
271,Peaky Blinders,2013,3,TV Shows,"Cillian Murphy, Sam Neill","","A notorious gang in 1919 Birmingham, England, is led by the fierce Tommy Shelby, a crime boss set on moving up in the world no matter the cost.",http://netflixroulette.net/api/posters/80002479.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
272,We Are What We Are,2013,2,Independent Movies,"Bill Sage, Ambyr Childers, Julia Garner, Michael Parks, Wyatt Russell, Kelly McGillis, Jack Gore, Kassie Wesley DePaiva, Annemarie Lawless, Traci Hovel",Jim Mickle,"Following a family tragedy, two teenage sisters are forced by their domineering father to keep their cannibalistic clan's macabre traditions alive.",http://netflixroulette.net/api/posters/70267715.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
